Continent,Year,Population Density 
North America,2015,245.14
Oceania,2015,305.97
North America,2015,146.95
Europe,2015,790.12
Africa,2015,47.29
Africa,2015,49.52
South America,2015,3.51
North America,2015,380.68
North America,2015,82.62
Asia,2015,6702.75
Europe,2015,105.82
Europe,2015,3.21
Asia,2015,402.38
Asia,2015,136.04
Asia,2015,49.62
Asia,2015,86.14
Europe,2015,66.39
Europe,2015,146.14
Asia,2015,385.55
Europe,2015,199.89
Africa,2015,73.18
North America,2015,254.25
Asia,2015,336.71
Europe,2015,866.91
Asia,2015,106.27
Asia,2015,6.55
Africa,2015,80.73
Oceania,2015,143.91
Asia,2015,219.37
Asia,2015,29.58
Asia,2015,28.66
Europe,2015,30.85
Asia,2015,612.22
Africa,2015,69.79
Africa,2015,41.41
Africa,2015,3.52
Europe,2015,233.47
Europe,2015,45.39
Europe,2015,220.19
Asia,2015,20507.97
Africa,2015,42.33
Africa,2015,142.96
Asia,2015,93.92
Asia,2015,1451.94
Africa,2015,14.6
Europe,2015,1444.87
Oceania,2015,272.98
North America,2015,340
Africa,2015,3.83
Africa,2015,633.9
Africa,2015,667.23
North America,2015,61.16
Oceania,2015,155.93
Europe,2015,96.83
Europe,2015,18380
Asia,2015,1.9
Europe,2015,45.9
North America,2015,49.6
Africa,2015,77.66
Africa,2015,33.49
Asia,2015,76.09
Africa,2015,2.76
Oceania,2015,532.62
Asia,2015,187.59
Europe,2015,407.19
Oceania,2015,15.24
Oceania,2015,16.97
North America,2015,48.31
Africa,2015,15.89
Africa,2015,199.18
Oceania,2015,7.1
Asia,2015,209.54
Europe,2015,81.98
Oceania,2015,111.02
Europe,2015,16.03
Asia,2015,13.54
Asia,2015,239.22
Oceania,2015,38.77
Asia,2015,721
North America,2015,52.47
Oceania,2015,18.76
South America,2015,15.19
South America,2015,23.9
Asia,2015,300.95
Europe,2015,123.3
Europe,2015,112.56
North America,2015,394.29
Asia,2015,208.4
Africa,2015,14.81
Africa,2015,367.38
Europe,2015,83.5
Europe,2015,8.46
Africa,2015,442.06
North America,2015,459.19
North America,2015,183.1
North America,2015,285.1
North America,2015,660.75
North America,2015,24.7
North America,2015,273.73
Oceania,2015,71.63
Europe,2015,550.33
Africa,2015,208.63
Asia,2015,15.23
Africa,2015,72.98
Europe,2015,85.1
Africa,2015,219.56
Africa,2015,101.96
Asia,2015,7957.77
North America,2015,1182.5
Europe,2015,110.62
Europe,2015,102.64
Oceania,2015,21.2
Africa,2015,21.59
Africa,2015,45.76
Asia,2015,508.88
Africa,2015,18.06
Europe,2015,91.76
Asia,2015,325.2
Africa,2015,20.24
South America,2015,3.51
Europe,2015,21.87
Europe,2015,200.6
Asia,2015,103.71
Asia,2015,649.63
Asia,2015,59.57
Africa,2015,55.6
Asia,2015,136.99
Asia,2015,81.07
Africa,2015,131.61
Oceania,2015,121.17
Oceania,2015,142.06
North America,2015,284.63
Africa,2015,70.64
Asia,2015,101.65
Asia,2015,11.81
North America,2015,38.54
Oceania,2015,418.35
Africa,2015,155.15
Europe,2015,74.54
Asia,2015,106.66
Europe,2015,268.52
North America,2015,34.63
North America,2015,296.26
South America,2015,18.8
Asia,2015,69.18
Oceania,2015,22.68
Europe,2015,564
South America,2015,33.31
Asia,2015,278.35
Oceania,2015,85.79
Africa,2015,1.85
