Country,Continent,Year,Population,Area,Population Density 
Thailand,Asia,2000,63066603.00 ,513120.00 ,122.91 
Timor-Leste,Asia,2000,878360.00 ,14874.00 ,59.05 
Togo,Africa,2000,5008035.00 ,56785.00 ,88.19 
Tokelau,Oceania,2000,1666.00 ,12.00 ,138.83 
Tonga,Oceania,2000,102603.00 ,747.00 ,137.35 
Trinidad and Tobago,North America,2000,1332203.00 ,5130.00 ,259.69 
Tunisia,Africa,2000,9893316.00 ,163610.00 ,60.47 
Turkey,Asia,2000,64113547.00 ,783562.00 ,81.82 
Turkmenistan,Asia,2000,4569132.00 ,488100.00 ,9.36 
Turks and Caicos Islands,North America,2000,18744.00 ,948.00 ,19.77 
Tuvalu,Oceania,2000,9638.00 ,26.00 ,370.69 
Uganda,Africa,2000,24020697.00 ,241550.00 ,99.44 
Ukraine,Europe,2000,48879755.00 ,603500.00 ,80.99 
United Arab Emirates,Asia,2000,3275333.00 ,83600.00 ,39.18 
United Kingdom,Europe,2000,58850043.00 ,242900.00 ,242.28 
United States,North America,2000,282398554.00 ,9372610.00 ,30.13 
United States Virgin Islands,North America,2000,108185.00 ,347.00 ,311.77 
Uruguay,South America,2000,3292224.00 ,181034.00 ,18.19 
